夹,ngeh
惩戒,ting kai
沙拉,peh tshoo
开除,khai ti
起见,khi kian
斗胜,too sing
钢骨,kng kut
脱壳,hiauh khak
顿足,tun tsiok
姑丈,a tiunn
徽章,hui tsiong
大腿,tua thui
营养,poo iang
先头,thau tsing
眼晕,bak hin
尾款,siau bue
足岁,sit he
法力,huat lik
周延,tsiau tioh
巴结,pa kiat
苦恼,khoo nau
溃疡,khui iong
外商,gua siong
油菜,iu tshai
海獭,hai thuah
上街,tsiunn kue
协议,hiap gi
调情,tsue kui
托住,thenn tiau
攀折,pinn tsih
流汗,lau kuann
看见,khuann tioh
迭次,tak pai
善变,gau pian
照料,tsiau koo
兼并,thun tsiam
行为,ki tong
通过,thong kue
母体,bu sin
亚军,a kun
佳冬,ka tang
赘言,ue sai
粉刷,hun suat
改善,kai liong
取名,tshu mia
南京,lam kiann
代表,tai piau
喜果,hi thng
闪躲,tsau siam
抽空,lang phang
麟儿,lin ji
住宿,hioh me
旦夕,tan sik
落空,oo iu
摇滚,io kun
小声,se siann
酌量,iak liong
痨病,lo penn
予以,u i
天文,thian bun
场合,too hap
中常,tiong pan
镜匣,kiann ap
外来,gua lai
成擒,sing khim
放生,hong sing
噘嘴,hiu tshui
重视,khuann tiong
磁器,hui a
干尸,im sin
切口,to tshui
盘整,puann tsing
头尾,thau be
本事,tsai tiau
书页,tsheh iah
破屋,phua tshu
铁沙,thih sua
被褥,phue phoo
八分,pat hun
乐捐,kia hu
姓名,mia ji
军备,kun pi
表里,piau li
乳钵,lui phun
租约,tan phue
转生,tsuan se
摆尾,phiat bue
摇橹,io loo
国粹,kok sui
笔锋,pit be
逆转,to huan
酒席,tsiu toh
观光,kuan kong
素有,soo iu
莽撞,tang hiannh
肩上,king siong
夜晚,e am
山涧,suann kok
猫里,ba li
割礼,kuah le
火拼,piann tin
道路,tua loo
任教,jim kau
负载,hu tsai
跳出,thiau tshut
瓦解,ua kai
黑糖,oo thng
照相,hip siong
铁柜,thih kui
锁环,so thau
淬火,gan tsui
枉然,kho sioh
税制,se tse
木屐,tsha kiah
点破,kong phua
候示,hau si
避祸,kue eh
相爱,sio ai
毯子,moo than
脱班,tsau khau
图案,hue ji
热带,liat tai
这么,tsiah ni
火鸡,he kue
挡路,pe loo
堵嘴,that tshui
亲自,tshin tsu
过失,ke sit
补贴,poo tsoo
风评,hong phing
截稿,tsiat ko
岳阳,gak iong
钱庄,tsinn tsng
不然,a bo
下雾,ta bong
外地,gua te
虚衔,hi ham
僵尸,kiong si
边发,moo sui
风流,oo kau
趔趄,tian tshih
介绍,siau kai
举债,ku tse
改写,kai sia
译音,ik im
空投,khong tau
博命,piann mia
人格,phin hing
电镀,tian kim
对句,tui ku
镇静,tin tsing
惘然,gang gang
相貌,siong mau
脓血,lang hueh
尾帐,siau bue
礼俗,se su
虾米,he a
股利,koo li
肉酱,bah kue
得手,tsiunn tshiu
先前,pun te
海专,hai tsuan
掩盖,jia tsah
夙知,tsai khioh
鲁莽,bong tong
枯燥,kua so
长眠,tiong bin
现任,hian jim
承认,sing lin
氧气,sang soo
渔网,hu bang
男人,tsa poo
搜集,siu tsip
回暖,hue lam
生擒,uah liah
预估,u koo
进帐,jip siau
固守,ngi siu
龟缩,kiu kiu
借问,tshing kau
曲拗,tiunn tuah
容或,kiam tshai
到处,si ke
叱骂,phainn ue
惩罚,khui to
招认,jin tsue
死路,si loo
打发,ing hu
巡回,sun hue
面筋,mi tsia
皮椅,phe i
累积,lui tsik
及时,kip si
餐具,uann puann
统计,thong ke
巩膜,peh jin
儿戏,ji hi
藏私,khng poo
五路,si bin
得意,tik i
德泽,tsik tik
借机,tsia ki
亲身,pun sin
香烟,hun ki
呆傻,gong gong
作弄,tshong ti
助益,tsoo ik
存在,tsun tsai
浸水,lip tsui
渔业,hi giap
掉底,lap tue
宁可,ling kho
七孔,tshit khong
教员,sin senn
回去,to tng
移走,sua tsau
聆赏,ling siong
泼水,hoo tsui
要角,iau kak
创新,tshong sin
捎带,sun si
汇单,hue tuann
面霜,bin sng
吃醋,ang bak
银币,gun kak
板滞,pan pan
进展,tsin tian
慎重,sin tiong
相簿,siong phoo
异同,i tong
团员,thuan uan
载入,tsai lip
近旁,pinn thau
足足,tsiok tsiok
男色,lam sik
涨潮,tsui im
来去,lai khi
听到,thiann tioh
火海,he hai
征召,ting tiau
抱胸,lam hing
解毒,kai tok
虫眼,tsiu tshng
褡裢,sau be
称职,tshing tsit
冰糖,thng sng
去职,khu tsit
贼首,tshat siu
调教,tiau kau
错怪,tsho kuai
远视,uan si
浪板,long pan
类似,lui su
表弟,piau te
河堤,khe huann
维修,ui siu
青竹,tshenn tik
茶箍,te khoo
小辈,sue pue
公车,kong tshia
嘟嘴,tu tshui
作风,khui khau
贴补,poo thiap
好吃,hing tsiah
郎君,long kun
脱轨,pai be
加给,ka kip
鼻子,phinn a
善变,hiau than
跟随,kin sui
遂心,su kah
劳苦,sin khoo
兴起,hing khi
重提,tiong the
苦果,khoo ko
军机,kun ki
胡同,hang ke
彭祖,phinn tsoo
逆转,gik tsuan
交差,kau siau
血渍,hueh jiah
灵活,uah tong
退火,the hue
生怕,tsin liap
锋面,hong bin
原装,guan tsong
贩卖,huan be
煎熬,tsian ngau
炼丹,lian tan
威严,ui giam
粗估,liah sng
中断,tiong tuan
赌输,puah su
多种,pah iunn
野外,thinn loo
宁愿,ling kho
半票,puann phio
膀子,sit ko
肝气,hue hong
民家,lin ke
正义,tsing gi
不正,put tsing
萌芽,puh ge
旧病,ku penn
游戏,iu hi
叫价,huah ke
怪异,koo tong
奴仆,loo pok
纤细,iu iu
干脆,kui khi
过夜,kue me
素质,kin te
猖獗,tshiong kong
垦丁,khun ting
飞去,pue khi
廉让,siok ke
地穴,thoo ang
胶带,liam poo
长得,senn sing
品质,phin tsit
看中,ting i
厄运,ik un
霍霍,siak siak
空墓,khang boo
陌生,tshinn soo
难讲,phai kong
认份,jin hun
看准,siunn tsun
混淆,sann hun
众院,tsiong inn
装车,tsong tshia
保镖,po pio
鹭洲,loo tsiu
出生,tshut senn
纸屑,tsua iu
登场,tshut tai
消融,iunn khu
用途,loo ing
奇妙,ki kha
竹筏,tik pai
苦闷,sim bun
展期,tian an
入库,jip khoo
内叛,lue puan
中将,tiong tsiong
相继,sann sua
长江,tng kang
胞兄,pau hiann
燃火,hiann he
竹鸡,tik kue
巾帼,kun kok
长荣,tiong ing
做证,tso tsing
订购,ka tiann
济事,tso tai
排除,pai ti
未曾,be tsing
脾气,phiah sing
游丝,pue si
发粿,pho kue
雇主,thau ke
消暑,thue liang
旅行,li hing
眼尾,bak bue
提出,the tshut
脚劲,kha lat
求教,kiu kau
年尾,ni bue
地租,te tsoo
洼地,ke te
文科,bun kho
声息,siann sau
发声,huat siann
目的,he hang
南部,lam poo
笑料,tshio khue
探测,tham tshik
子房,hue poo
解酒,kai tsiu
很够,kau kau
病势,pinn se
骗局,phian kiok
建商,kian siong
发脚,moo kha
赞成,tah ing
东方,tang hng
吊线,tui tsin
前面,tui bin
做伴,tso hue
蛀洞,tsiu tong
镰刀,kueh ni
起驾,khi ka
港币,kang phio
房产,pang san
纯度,sun too
贵阳,kui iong
车站,tshia thau
杜英,too ing
遍身,pian sin
退税,thue se
弟媳,kim a
弱点,tshau khang
安生,tik tiann
扣抵,khau tu
可怕,kiann lang
令人,hoo lang
赠品,tsing phin
沉吟,tim gim
荒缪,li king
腊肉,lah bah
广厦,kuann tsha
过节,ke ong
灾胞,tsai pau
扣留,khu liu
房产,tshu giap
算命,siong mia
烂戏,phai hi
出马,tshut ma
字数,ji soo
停车,thing tshia
疑难,gi lan
豆干,tau kuann
败势,su se
脸颊,tshui phue
顶让,kue puann
值得,tat tit
玉葱,tshang thau
粉肝,hun kuann
安眠,an sui
刀锋,to tshui
果菜,kue tshai
茶具,te se
薄幸,pok hing
财神,tsai sin
外胎,gua thai
对盘,tui pan
子弟,tsu te
交加,kau ka
浮世,phu se
长夜,tng mi
媒体,mui the
花瓶,hue pan
交谊,kau gi
治丧,ti song
周期,tsiu ki
牛蝇,gu sin
铁砧,thih tiam
舞曲,bu khik
怨叹,uan hun
芦笋,loo sun
候补,hau poo
雷射,lui sia
香精,phang tsing
球季,kiu kui
历练,lik lian
醒酒,the tsiu
干贝,kan pue
外出,tshut gua
阻止,tsoo tong
天真,thian tsin
飘逸,tshing phiau
失策,tah tham
致力,tsin lik
土里,thoo te
园地,hng tue
纸胚,tsua phe
模具,boo khu
贤良,hian liang
液晶,ik tsinn
使得,e sai
做假,tso ke
间歇,hioh tsun
赤红,ang tshiah
阴森,tshinn tshin
卸责,sia ke
出来,tshut lai
入殓,lip bok
瓷器,hui a
轻声,khin siann
沙哑,phua tshe
雷鸣,lui hau
走亲,kiann tshin
舌头,tsih a
帮派,kak si
成份,sing hun
联句,lian ku
较劲,sio piann
父命,hu bing
私了,su hiu
酒兴,tsiu pi
插手,tap tih
帐棚,poo pinn
山峰,suann be
涉案,siap an
费劲,hui khi
信号,ho thau
厂址,tshiunn tsi
洄澜,hue lian
乱搞,luan lai
相克,siang khik
溪滩,khe poo
百分,pah hun
喊价,huah ke
廉直,liam tit
出落,tshut thio
赠给,sang hoo
驱除,khu tu
质询,tsit sun
忍气,lun khi
借款,tsioh khuan
牵缠,thua tinn
比对,tui khuann
酒家,tsiu ka
赎款,siok kim
谢病,the penn
异样,bo siong
黑幕,oo boo
澎湃,phong pai
农田,tshan hng
传话,thuan ue
逮到,liah tioh
枯树,si tshiu
扼要,kan iau
歹徒,phainn too
上辈,ting un
秘诀,me kak
擦脸,luah bin
全票,tsuan phio
月光,gueh kng
振奋,tsin hun
模样,se bin
要命,bue mia
报禁,po kim
零用,ling iong
不懂,m pat
美满,bi mua
义行,gi hing
香菜,phang tshai
俭朴,khiam phok
高工,ko kang
剧本,kiok pun
忧伤,iu siong
证言,tsing gian
希图,siau siunn
撕票,liah phio
猜疑,huai gi
学府,hak hu
全力,tsuan lik
窄小,eh sio
草衙,tshau ge
烘烤,ke hang
鸡脚,kue kha
专题,tsuan tue
猛兽,bing siu
完整,uan tsing
豪语,ho gi
对味,kah i
摃上,tshiang tioh
淹没,im kham
梨子,lai a
降伏,hang hok
油画,iu ue
奉献,hong hian
换羽,thui mng
毙命,bo mia
误差,goo tsha
溪谷,khue kok
也许,huan se
夭寿,te mia
谩骂,phainn ue
船桨,tsun tsiunn
监督,tsik tok
斑白,tsham peh
河底,ho tue
锁门,so mng
共总,long tsong
收获,siu tang
斑驳,pan pok
取出,tshu tshut
入耳,lip ni
原配,guan phue
门槛,mng ting
赔还,pe hing
列出,liat tshut
日商,jit siong
老迈,lo moo
载重,tsai tang
聘用,phing iong
冲突,tshiong tut
破底,lap tue
贼窟,tshat siu
光火,siu khi
额外,giah gua
前科,tsian kho
绰号,gua ho
游逛,go thit
灵柩,ling kiu
剧团,hi pan
老姜,kiunn bo
探访,tham hong
最好,siang ho
欺悔,bu jiok
玩弄,tshong ti
乡友,hiong iu
追寻,tui tshe
永康,íng khong
解剖,khai phua
民望,jin khi
绵羊,iunn ko
燕窝,ian o
手磬,liu im
干柴,ta tsha
遇难,gu lan
押解,ah sang
稻种,tiu tsing
最为,thong kai
腌菜,kiam tua
奖章,tsiong tsiong
野放,pang suann
劝募,hua ian
钉帽,ting leh
政论,tsing lun
农地,long tue
耽搁,ian tshian
恩师,in su
争斗,tsing too
水草,tshau se
毯子,than a
查帐,tsha siau
他人,thann jin
屋梁,inn a
缴出,kiau tshut
断口,pit leh
猥琐,ha siau
棋子,ki ji
永和,ing ho
人寿,jin siu
拖轮,thua pok
势将,si tsiong
智识,ti sik
退让,thue niu
探春,kiann tshun
男装,lam tsong
自信,tsu sin
立约,lip iok
善后,sian hio
憋气,kim khui
铁定,tsai un
老财,uan gue
行宫,hing kiong
脱孝,thng ha
费钱,siong pun
虚数,phong be
起疑,giau gi
烟垢,ian thun
买来,be lai
挂心,khua li
懊恼,au nau
阔别,khuah piat
放下,pang loh
装扮,tshing tshah
冰箱,ping siunn
胜似,iann kue
开台,nau tai
退火,pai hue
税款,se khuan
烟丝,kau hun
贺仪,ho gi
草丛,tshau pho
金华,kim hua
闲谈,phann tam
怕痒,kiann ngiau
取暖,tsioh he
上旬,gueh tshue
海狗,hai kau
整天,kui kang
力行,lik hing
憔悴,koo ta
式子,se bin
海潮,lau tsui
头路,giah hun
牛肉,gu bah
会来,e lai
力道,lik liang
并重,pinn tang
借条,tsioh ji
月圆,geh inn
拖欠,thua khiam
绵羊,mi iunn
主轴,tsu tik
条约,tiau iok
春卷,jun piann
突发,tut huat
后事,hoo su
日华,jit tshiu
听候,thing hau
飞翔,khoo pe
假发,mng ku
屡屡,ing ing
沙洲,phu lun
机工,ki kang
削弱,siah jiok
制止,at tsi
就职,tsiu tsit
银根,tsinn khang
阻碍,hong gai
撑船,the tsun
相伴,sio phuann
擢升,the puat
拌嘴,ke ue
主宰,tsu tsainn
太极,thai kik
把手,tshia tshiu
宿怨,uan te
盘缠,loo hui
德性,tik sing
精致,iu loo
可脑,thoo huih
断垄,lang khut
娇弱,lam sin
涉及,khan lian
烧火,tioh hue
中签,tioh tshiam
温热,un sio
下跪,ha kui
艰困,kan khun
落实,lok sit
皇后,hong hio
鸨母,piau thau
队部,tui poo
正本,tsiann pun
讲义,kang gi
乳癌,ling gam
每项,ban hang
噘嘴,khiau tshui
探求,tham kiu
公使,kong sai
冻露,tang loo
欢畅,liong thin
小锣,lo a
手痒,tshiu tsiunn
新式,sin khuan
印章,in tsiong
选拔,ke tiu
瓦窑,hia io
烧酒,sio tsiu
掉换,tui uann
地图,tue too
梅山,mui san
视力,si lik
虾腰,khut io
数词,soo su
麦片,beh phinn
活跃,uah thiau
尾声,bue siann
期日,ki jit
直肠,tit tng
爱哭,ai hau
知足,sioh hun
种猪,tsing ti
俗名,phian mia
过日,ke lit
檐廊,poo khau
调换,tiau uann
修路,siu loo
不太,bo siann
有意,thiau kang
板子,tua pan
人数,jin uan
利益,li ik
甘愿,khat kun
水沟,tsui kau
紧绷,penn an
灰白,tshian he
立体,lip the
反倒,huan tng
熟铁,sik thih
规章,tiau kui
玩弄,uan long
背晦,thian thoh
难色,lan sik
缴纳,kiau lap
支应,tsi ing
补假,poo ka
办菜,pan tshai
刻意,tiau kang
急骤,kin tsiap
夜盲,ke biang
救出,kiu tshut
钝刀,tun to
龃龉,kong kiauh
家眷,thau tshui
零工,te kang
京戏,tua pan
洽询,tsiap hiap
支线,tsi suann
美女,bi jin
首席,thau ui
兴头,hing thau
砂糖,tshiah sua
陷害,tsue khang
抵抗,huan khong
溪谷,khe kok
逃犯,tsau huan
死棋,si tsi
鱼鳍,hu ki
佩服,kam hok
细软,sue nng
有些,u kua
协和,hiap ho
日影,lit iann
享有,hiang iu
署名,loh mia
许配,tsue jin
频繁,kin tsiap
霸道,ah pa
串联,tshuan lian
妖邪,iau sia
传神,u sin
明明,bing bing
兜风,khau phang
水手,tsui siu
鲻鱼,oo hi
尽量,ke kiam
气窗,khi thang
办事,pan su
工业,kang giap
月刊,geh khan
撮合,in tsiu
皮球,phe kiu
杀手,sat siu
责骂,tsik me
古装,koo tsong
共管,kiong kuan
读书,thak tsheh
民初,bin tshoo
脱身,tsau khau
鸬鹚,loo tsi
知能,ti ling
凌辱,tshau tah
外文,gua bun
抵当,ti tong
打滑,tah tshu
品行,sim hing
黄色,ng sik
怒火,loo he
脏乱,ue sue
过细,sue li
消肿,the hong
卧病,to tshng
航海,hang hai
反驳,pue tshui
配方,ho ioh
以下,i ha
收敛,siu liam
役使,tshe sai
何等,gua ni
奸情,kan tsing
刨子,khau to
字划,li ueh
凭证,pai tsio
后盾,au suann
操神,sng sin
充当,tshiong tong
迅捷,kin tsiap
常识,siong sik
电瓶,tian pan
玫瑰,mue kui
少数,siau soo
讲座,kang tso
能干,tsai tiau
禁令,kim ling
家庭,ke ting
烛花,hue sai
见习,kian sip
庐山,loo suann
优裕,iu iah
致使,soo ti
不敌,put tik
电鱼,tian hu
煮食,tsi tsiah
无形,bu hing
畸形,ki hing
蜀葵,kui hue
磨鬼,moo sin
道姑,sai koo
糖浆,thng tsiunn
述说,sut suat
装束,tshing tshah
困境,khun king
谢意,sia i
人妖,jin iau
敦厚,koo i
月台,gueh tai
香火,hiunn he
阉猪,iam ti
酒瘾,tsiu phiah
冲动,tshiong tong
洋行,iunn hang
陪罪,pue tsue
函件,phe sin
船资,tsun tsu
奉饭,phang png
美感,bi kam
弟弟,sio ti
红蛋,ang nng
平静,tiam tsing
下脚,loh kha
破晓,thinn kng
冰凉,ping liang
碧眼,phik gan
酱料,tsiunn liau
警惕,king kai
日货,jit he
打折,tann tsiat
诚恳,koo i
初期,tshoo ki
正是,tsiann si
存量,tsun liang
清仓,piann tshng
排班,pai pan
拟办,gi pan
行径,hing king
动摇,io loo
娈童,sio kiann
嗾使,sai long
中正,tiong tsing
昭和,tsiau ho
仇隙,siu khik
姪子,sun a
桃枝,tho ki
旧米,ku bi
掉头,huan thau
引退,in thue
暂停,ban tshiann
末梢,bue liu
握手,ak tshiu
流逝,liu se
面临,bian lim
镀银,too gun
山崖,suann piah
口沫,nua tshiu
熄火,sit he
飞艇,pe tsun
高就,ko tsiu
叫出,kio tshut
錾子,tsam a
枪毙,phah tshing
阳坟,khang bong
柚仔,iu a
管道,suann loo
泥人,thoo lang
心坎,sim tso
亲身,tshin sin
农历,ku lik
腰骨,io kut
磨擦,kau khe
火化,he hua
慈悲,lin tsu
袜带,beh tua
居住,khia khi
集资,khioh tsinn
手臂,tshiu kut
职司,tsit su
填写,thian sia
春联,mng tui
滑竿,tik kio
露天,thinn loo
考选,kho suan
茶业,te giap
墨水,bak tsui
祝祷,tsiok to
恣意,sui i
喜剧,hi tshut
留念,liu liam
奶茶,ling te
偏执,phian kiong
图样,too iunn
富裕,u tsinn
生死,senn si
妒忌,uan too
批令,phe ling
辰光,tiam siann
薄皮,iu phe
养分,iong hun
丘陵,lun a
摆脱,thiu thuah
遗族,ui tsok
风车,hong go
下属,ha siok
移出,i tshut
茶油,te iu
探询,tham sun
涡轮,o lun
恍惚,sin khi
亡魂,bong ling
失策,sit sng
糖膏,thng ko
牛腩,gu lam
阴暗,oo am
砂砾,sua bu
体统,iunn siunn
裁判,tshai phuann
做旬,tsue sun
传家,thuan ka
年鉴,ni kam
申诉,sin soo
打到,phah tioh
蚯蚓,too un
失色,thuat sik
分开,hun khui
验尸,kiam si
奋发,hun huat
告辞,ko si
正殿,tsiann tian
人格,lin keh
香蒲,hiunn poo
抽搭,tsheh khui
天桥,thian kio
深切,tshim tshiat
匠人,sai hu
海山,hai suann
仙人,sian lang
人头,lang bin
特大,tik tua
差役,uan tshe
心境,khi moo
编者,phian tsia
假使,na si
终点,tsin be
荒凉,tshinn tshin
加派,ka phai
咬群,ping siu
茶点,te phe
吵醒,phah tshenn
多样,pah iunn
接运,tsiap un
兄嫂,hiann so
电讯,tian sin
滤净,lu tsing
知苦,tsai khoo
凶日,phai jit
敌情,tik tsing
光光,liau liau
异地,i te
民谣,kua a
漾奶,ik ni
新生,sin sing
老境,bue king
赏赐,siunn su
燃烧,toh he
木工,bok kang
甜蜜,tinn bit
破约,huan hiau
过道,hang loo
晚会,buan hue
穿著,tshing tshah
草袋,ka tsu
预见,i kian
伦理,lin lun
为止,ui tsi
不如,put ju
通知,thong ti
保险,po hiam
心计,sim hing
怪诞,kuai giat
相送,sio sang
风藤,hong tin
劝募,te ian
行情,hang tsing
锄草,thuann tshau
专才,tsuan tsai
荒地,hng poo
恢复,khue hok
竹鸟,tik tsiau
补货,poo hue
旅次,kheh tsan
莲台,lian tai
西南,se lam
算数,sng si
白桐,peh tong
好景,ho khui
烫金,ut kim
蛤蚧,kap kai
肉铺,ti tiam
血量,hueh liang
教嗾,kiau so
享年,hiong lian
爪牙,jiau ge
果岭,ko nia
裁撤,tshai thiat
子夜,puann mi
老兵,lau ping
癫痫,iunn hin
免于,bian u
英魂,ing hun
白桐,gong tshiu
分场,hun tiunn
小生,sio sing
说明,suat bing
快意,thiong pan
无数,bo soo
逃奔,tsau loo
虚设,hi siat
共计,tsong kiong
低劣,phainn liau
桂林,kui lim
局势,se bin
跃居,iok ku
体格,han tshau
举目,giah bak
走去,kiann khi
褪色,thng sik
周延,tsiau tsng
金柜,kim khoo
千瓦,tshian tsik
萎顿,tam sin
搞头,khang sun
副手,li tshiu
防备,hong pi
金牛,kim gu
板鸭,ah siunn
电压,tian ap
搭挡,tau thau
太妹,piu po
战俘,tsian hu
涨水,tiong tsui
磐石,gam tsioh
亲密,tshin kin
过目,ke gan
习题,siok te
预计,i ke
举例,ku le
出海,tshut hai
倒水,thin tsui
相加,siang ka
皇甫,hong hu
投诉,tau soo
截断,tsann tng
呆账,phainn siau
酿成,liong sing
不坏,bue phai
暑期,su ki
两栖,liong tshe
庄严,tsong giam
专科,tsuan kho
油墨,iu bak
合力,tau lat
侮辱,khi hu
海芋,hai oo
候驾,hau ka
瞥见,lio tioh
漫游,ban iu
坐禅,tse sian
陨石,tshinn sai
判决,phuann kuat
亲爱,siong ho
耳机,hinn ki
同窗,tong hak
人像,jin siong
停了,tiann khi
本名,pun mia
抵押,ti ah
短少,khiam khuat
袜带,bueh sok
延后,ian ti
面粉,mi hun
体会,the hue
火头,hue khi
绊住,tak khe
民智,bin ti
客房,kheh pang
根本,ki pun
毫无,long bo
相谈,siong tam
回旋,tng seh
浮石,pho tsioh
内埔,lai poo
即使,tsun tso
天道,thian to
射门,sia mng
拉拢,un tong
记录,ki liok
娇艳,iau kiau
来往,kau ong
圆锹,thoo tshiah
救星,kiu tshenn
悍马,tshenn be
打扰,lo huan
焦雷,tshe lui
专一,kui khi
争执,uan ke
银器,gin khi
打底,tsu tue
担保,po tsing
看法,khuann huat
点播,tiam poo
人丁,thau tshui
题材,te tsai
演说,ian suat
务求,bu kiu
失水,sit tsui
野兔,ia thoo
澈底,thiat te
南旁,lam ping
专文,tsuan bun
兵舰,kun lam
两造,ji pi
流域,liu hik
藏身,tsong sin
伸缩,tshun kiu
挥手,hui tshiu
懦弱,lam liok
患病,phua pinn
石虎,tsioh hoo
昨晚,tsa am
劳动,lo tong
反照,huan tsio
不然,na bo
血统,hiat thong
谋杀,boo sat
马力,be lat
回馈,hue kui
天窗,thinn tsenn
下山,ha san
下订,loh tiann
推事,tshui su
牛虻,gu bong
约计,iok bau
靛青,tang tshinn
土气,song khui
嘴淡,tshui peh
纵横,huainn tit
危险,gui hiam
轻松,khuinn uah
星辰,tshinn sin
浅黄,tshian ng
海产,hai bi
弥月,mua geh
通宵,thau me
跑鞋,ting ue
狂飙,tsau pio
天然,thian jian
崩了,pang khu
天师,thian su
住址,tsu tsi
叶脉,hioh kin
天府,thian hu
炸伤,tsa siong
车道,tshia to
旅馆,li sia
掌班,pan thau
育婴,iok enn
鸡胸,kue hing
直升,tit sing
福眼,hok ging
咖啡,ka pi
影集,iann tsip
拥有,iong iu
稍候,sio thing
国术,kok sut
反叛,huan pue
渔村,hi tshun
聒噪,tso tsak
治乱,ti luan
推去,tu khu
院落,tshim tsenn
裁夺,tshat tuat
香袋,hiunn te
感化,in thua
带队,tua tui
打破,kong phua
门把,mng ling
变异,pinn inn
嘘夸,hong ki
手印,tshiu hun
香肠,lah tshiang
屋簷,gim kinn
下帖,sang thiap
买单,kiat siau
策动,tshik tong
文具,tsua pit
胜券,sing kng
掩蔽,tsia lia
鲈鱼,loo hi
线索,suann thau
救火,kiu he
再多,khah tse
框架,khing khak
宣泄,siau thau
商情,siong tsing
青松,tshing siong
硫安,liu an
不时,put si
找到,tshue tioh
招牌,tsio pai
各个,tak e
化妆,buah hun
分界,keh kai
偏重,phian tiong
娼寮,piau king
油渣,iu tai
钢包,loo ti
照片,siong phinn
响应,hiang ing
败将,pai tsiong
回想,he siong
预报,i po
衍生,ian sing
饭匙,png siah
筷笼,ti lang
战乱,tsian luan
旺月,tua geh
地瓜,han tsu
养母,iong bu
挡住,tong tiau
互换,tui uann
织机,tsit ki
碾子,tsioh lun
内幕,lai li
党籍,tong tsik
审慎,sim sin
仙女,sian li
动工,khai kang
奖状,tsiunn tsng
飞球,pue kiu
骂人,ma lang
病重,penn tang
伶俐,uah tsui
闪神,sit goo
猜对,ioh tioh
长裤,tng khoo
遵循,tsun sun
长袖,tng ng
样样,poo poo
困扰,khun liau
出借,tshut tsioh
呼气,pun khui
响起,hiong khi
主后,tsu au
别名,phian ho
订正,ting tsing
节下,ua tsueh
著迷,tshi be
大屿,tua su
风筝,hong tshe
尽职,tsin tsit
勒令,ha ling
电离,tian li
铁匠,thih tshiunn
抢话,tsinn tshui
动用,tong iong
上上,siong ho
圣地,sing tue
笔法,pit loo
顽强,giam nge
角头,soo tsai
继嗣,ke pang
聚赌,tsu too
宴请,ian tshiann
纳凉,tshiu tshin
欺骗,khi phian
岛屿,to su
保障,po tsing
勤练,khun lian
黄荆,poo kiunn
活塞,uah sng
一趟,tsit tsua
鸟笼,tsiau lang
鲤鱼,li hi
看护,khuann koo
职守,tsik jim
省委,sing ui
再欠,koh khiam
品性,sing tue
刺痒,tshiah iah
太祖,thai tsoo
西区,se khu
踏青,kiann tshun
远征,uan tsing
得法,tioh huat
早点,khah tsa
上船,tsiunn tsun
不去,m khu
丁口,ke khau
竹林,tik na
锅铲,tsian si
螺盖,le ti
出手,tshut tshiu
到手,kue tshiu
编入,phian jip
景点,king tiam
陷落,ham loh
昨天,tsoh jit
相见,sann kinn
后备,au tu
大蒜,suan a
早夭,iau siu
族谱,ka phoo
稍微,sio khua
结痂,kian phi
巴西,pa se
扶梯,lau thui
降职,kang tsit
误差,tsing tsha
充电,tshiong tian
脊田,san tshan
脓汁,lang siunn
铅球,ian kiu
性别,sing piat
舀水,iunn tsui
轮回,lun hue
散弹,suann ian
朦胧,huann huann
迫近,pik kun
余裕,ling ling
近年,kin ni
统统,long tsong
苦谏,khuan khng
快走,kin kiann
石鼓,tsioh koo
得空,u ing
头巾,thau kun
渔村,hu tshuan
晚年,buan lian
伤神,sng sin
致电,ti tian
呆板,si pan
相会,siong hue
丰满,nng pui
后熟,sih tsui
声调,siann tiau
偏激,kik ka
通电,kue tian
剥骨,pak kut
财东,thau ke
居丧,iu hau
蜡纸,lah tsua
撒谎,hau siau
肉松,bah poo
痛惜,thiann thang
醒木,hong tsi
字眼,li gan
蒸笼,tshue phoo
羞辱,kian siau
裂缝,pit phang
肮脏,lap sap
便壶,jio hoo
抵制,ti tse
学识,hak sik
难民,tsai bin
夜路,me loo
溪边,khue pinn
合营,hap ing
族长,tsong tiunn
盲鼠,tsinn tshi
云雨,hun u
协议,tho lun
冻害,tang sng
同庚,siang hue
无菌,bo khun
心痛,sim thiann
对岸,tui huann
倒盖,to khap
撞伤,kho tioh
押枝,teh ue
锤子,thui a
相会,sio kinn
活会,uah hue
诗句,si ku
针灸,tsiam ku
希望,ki thai
轿车,kio tshia
西元,se guan
中影,tiong iann
癫愚,tian gong
联谊,lian gi
开办,khai pan
供桌,sin toh
换成,uann tsue
拟定,gi ting
伪造,ke tso
入侵,lip tshim
昆山,khun san
器量,too liong
好吃,ho tsiah
打圈,phah khoo
浮力,phu lik
按照,an tsiau
扣留,khau ah
羁旅,kia khia
解危,kai gui
西边,sai si
饭杓,png siah
当市,tsiah tshi
召开,tiau khui
制药,tse ioh
密码,bit be
强硬,kiong nge
宽裕,khin sang
接送,tsih sang
牛排,gu pai
溪壑,khenn kham
绿岛,lik to
语文,gi bun
白忙,ke kang
看到,khuann tioh
来潮,lai se
狂风,kong hong
违约,ui iok
学理,hak li
半跪,puann kui
打岔,phah tshap
效忠,hau tiong
署名,khia mia
建材,kian tsai
松果,tsha lui
叮嘱,ting tsiok
